# manually created by selecting rows on https://basisregistratieondergrond.nl/service-contact/formulieren/aangemeld-bro/
# 28 august 2025 

4Infra B.V. | 05084212
Van Leeuwen Engineering & Automatisering |   91482720
Van Oord Nederland | 18106742
VCMI N.V. | 09128573
veldapps.com | 50556649
Verbelco B.V. | 09083617
Vereniging tot Behoud van Natuurmonumenten in Nederland | 40516730
Verhoeven Milieutechniek B.V. | 11028756
Vervoort juridisch advies | 17249280
Vissers-Ploegmakers B.V. | 16055402
V.O.F Op de Akker | 53606507
Van Dijk Geo- en Milieutechniek B.V. | 30128364
Vitens N.V. | 05069581 (​B)
VRM LevelLog B.V. | 66272688
VWB Bodem B.V. | 62092758
Wareco Ingenieurs | 33223543
Waterlabs B.V. | 67965431
Waterschap Aa en Maas | 17251019 (​B)
Waterschap Amstel, Gooi en Vecht | 34360267 (​B)
Waterschap Brabantse Delta | 51181584 (​B)
Waterschap De Dommel | 17277734 (​B)
Waterschap Drents Overijsselse Delta | 64208338 (​B)
Waterschap Hollandse Delta | 52605825 (​B)
Waterschap Hunze en Aa's | 01173230 (​B)
Waterschap Limburg | 67682065 (​B)
Waterschap Noorderzijlvest | 50130994 (​B)
Waterschap Rijn en Ijssel | 09212548 (​B)
Waterschap Rivierenland | 30281419 (​B)
Waterschap Scheldestromen | 51640813 (​B)
Waterschap Vallei en Veluwe | 56804636 (​B)
Waterschap Vechtstromen | 58972676 (​B)
Waterschap Zuiderzeeland | 32164084 (​B)
Wetterskip Fryslân | 01174741 (​B)
Wiha Grondmechanica | 52047202
Witteveen+Bos Raadgevende ingenieurs B.V. |   38020751
WMD Drinkwater B.V. | 67731910 (​B)
WSP Nederland B.V. | 20045963
Xaxis Technologies B.V. | 64931935
